group,year,fcf_b,source_type
Hyperscalers,2018,101.4,reported
Hyperscalers,2019,125.0,reported
Hyperscalers,2020,149.2,reported
Hyperscalers,2021,161.3,reported
Hyperscalers,2022,132.3,reported
Hyperscalers,2023,213.5,reported
Hyperscalers,2024,245.6,reported
Hyperscalers,2025,198.3,reported
Hyperscalers,2026,-94,forecast
Hyperscalers,2027,-150,forecast
Semiconductors,2018,22.8,reported
Semiconductors,2019,18.6,reported
Semiconductors,2020,19.2,reported
Semiconductors,2021,25.8,reported
Semiconductors,2022,32.2,reported
Semiconductors,2023,22.9,reported
Semiconductors,2024,54.0,reported
Semiconductors,2025,95.1,reported
Semiconductors,2026,138,forecast
Semiconductors,2027,265,forecast
