company,year,ebit_m,cap_employed_m,roce_pct
Alphabet,2018,26321,198172,13.3
Alphabet,2019,34231,230688,14.8
Alphabet,2020,41224,262782,15.7
Alphabet,2021,78714,295014,26.7
Alphabet,2022,74842,295964,25.3
Alphabet,2023,84293,320578,26.3
Alphabet,2024,112390,361134,31.1
Alphabet,2025,129039,492536,26.2
Microsoft,2018,35058,200360,17.5
Microsoft,2019,42959,217136,19.8
Microsoft,2020,52959,229001,23.1
Microsoft,2021,69916,245122,28.5
Microsoft,2022,83383,269758,30.9
Microsoft,2023,88523,307827,28.8
Microsoft,2024,109433,386877,28.3
Microsoft,2025,128528,477785,26.9
Amazon,2018,12421,94257,13.2
Amazon,2019,14541,137436,10.6
Amazon,2020,22899,194810,11.8
Amazon,2021,24879,278283,8.9
Amazon,2022,12248,307282,4.0
Amazon,2023,36852,362937,10.2
Amazon,2024,68593,445463,15.4
Amazon,2025,79975,600037,13.3
Meta,2018,24913,90317,27.6
Meta,2019,23986,118323,20.3
Meta,2020,32671,144335,22.6
Meta,2021,46753,144852,32.3
Meta,2022,28944,158701,18.2
Meta,2023,46751,197663,23.7
Meta,2024,69380,242458,28.6
Meta,2025,83276,324185,25.7
Oracle,2018,13679,118069,11.6
Oracle,2019,13535,90079,15.0
Oracle,2020,13896,98238,14.1
Oracle,2021,15213,106943,14.2
Oracle,2022,10926,89786,12.2
Oracle,2023,13093,111294,11.8
Oracle,2024,15353,109432,14.0
Oracle,2025,17678,135718,13.0
